filename,width,height,class,xmin,ymin,xmax,ymax
2-49#-0835.jpg,1200,1632,cell_0,1052,781,1200,930
2-49#-0490.jpg,1200,1632,cell_0,603,695,764,857
3-50#-0956.jpg,1200,1632,cell_0,936,723,1089,876
3-50#-1009.jpg,1200,1632,cell_0,720,688,880,843
2-49#-0855.jpg,1200,1632,cell_0,875,697,1024,848
3-50#-1004.jpg,1200,1632,cell_0,96,730,254,864
3-50#-1020.jpg,1200,1632,cell_0,1054,771,1200,919
2-49#-0143.jpg,1200,1632,cell_0,1064,785,1200,932
3-50#-1542.jpg,1200,1632,cell_1,882,548,1026,709
2-49#-0889.jpg,1200,1632,cell_0,861,683,1017,841
1-1112.jpg,1200,1632,cell_1,991,764,1170,916
3-50#-1344.jpg,1200,1632,cell_0,859,681,1010,832
2-49#-0968.jpg,1200,1632,cell_0,527,727,692,855
2-49#-0983.jpg,1200,1632,cell_0,552,720,717,855
3-50#-0312.jpg,1200,1632,cell_1,873,590,1021,746
3-50#-1491.jpg,1200,1632,cell_0,1038,767,1196,925
2-49#-0816.jpg,1200,1632,cell_1,980,597,1156,734
1-0667.jpg,1200,1632,cell_1,831,704,994,857
2-49#-0072.jpg,1200,1632,cell_1,814,564,977,725
5-2347.jpg,1200,1632,cell_1,296,739,514,869
3-2207.jpg,1200,1632,cell_1,970,764,1140,918
2-49#-0533.jpg,1200,1632,cell_1,921,620,1094,750
2-49#-0534.jpg,1200,1632,cell_1,770,639,914,795
2-49#-0441.jpg,1200,1632,cell_0,764,669,927,827
2-49#-0992.jpg,1200,1632,cell_0,650,688,806,846
2-49#-0311.jpg,1200,1632,cell_0,13,718,182,862
3-50#-1520.jpg,1200,1632,cell_0,917,699,1075,857
2-49#-0389.jpg,1200,1632,cell_1,1040,585,1200,716
3-50#-0361.jpg,1200,1632,cell_0,347,730,508,860
3-50#-0917.jpg,1200,1632,cell_1,759,678,914,834
3-50#-1480.jpg,1200,1632,cell_1,882,537,1035,697
2-49#-0691.jpg,1200,1632,cell_1,1087,571,1200,708
2-49#-0847.jpg,1200,1632,cell_0,194,723,380,857
3-50#-0409.jpg,1200,1632,cell_0,631,713,782,862
2-49#-0252.jpg,1200,1632,cell_0,1059,783,1200,930
2-49#-0913.jpg,1200,1632,cell_0,982,767,1138,911
2-49#-0003.jpg,1200,1632,cell_1,426,727,619,860
2-49#-0794.jpg,1200,1632,cell_0,364,727,550,855
1-0669.jpg,1200,1632,cell_1,670,657,831,813
2-49#-0991.jpg,1200,1632,cell_0,913,739,1071,888
2-49#-0714.jpg,1200,1632,cell_1,440,725,617,857
5-2346.jpg,1200,1632,cell_1,561,685,738,857
2-49#-0836.jpg,1200,1632,cell_0,813,671,971,827
3-50#-1466.jpg,1200,1632,cell_0,13,727,175,864
2-49#-0268.jpg,1200,1632,cell_0,894,727,1061,885
2-49#-0900.jpg,1200,1632,cell_0,75,720,245,855
2-49#-0940.jpg,1200,1632,cell_0,1,720,117,850
1-1116.jpg,1200,1632,cell_1,619,655,796,830
2-49#-0390.jpg,1200,1632,cell_1,889,620,1054,769
2-49#-0483.jpg,1200,1632,cell_1,1038,585,1200,713
3-50#-0977.jpg,1200,1632,cell_1,1003,390,1159,550
2-49#-0341.jpg,1200,1632,cell_1,280,718,461,857
2-49#-0062.jpg,1200,1632,cell_1,768,620,924,778
2-49#-0760.jpg,1200,1632,cell_1,359,723,552,860
2-49#-0485.jpg,1200,1632,cell_1,703,660,861,820
2-49#-0045.jpg,1200,1632,cell_1,794,590,952,750
3-50#-1473.jpg,1200,1632,cell_1,1017,378,1170,537
2-49#-0942.jpg,1200,1632,cell_0,1094,792,1200,936
2-49#-1005.jpg,1200,1632,cell_0,913,743,1078,895
3-50#-0306.jpg,1200,1632,cell_0,885,683,1040,841
2-49#-0870.jpg,1200,1632,cell_0,787,669,943,825
3-50#-1003.jpg,1200,1632,cell_0,752,683,908,837
3-50#-0325.jpg,1200,1632,cell_0,378,730,543,860
3-50#-1333.jpg,1200,1632,cell_0,822,674,975,832
1-0666.jpg,1200,1632,cell_1,931,748,1094,897
2-49#-0707.jpg,1200,1632,cell_0,1057,783,1200,932
3-50#-1010.jpg,1200,1632,cell_0,24,725,194,862
3-50#-1560.jpg,1200,1632,cell_0,822,674,978,830
2-49#-0939.jpg,1200,1632,cell_0,589,702,754,857
1-0670.jpg,1200,1632,cell_1,473,718,675,857
2-49#-0821.jpg,1200,1632,cell_1,987,767,1149,916
2-49#-0087.jpg,1200,1632,cell_0,689,674,850,834
2-49#-1001.jpg,1200,1632,cell_0,757,667,920,830
1-2508.jpg,1200,1632,cell_1,61,732,249,860
3-50#-1047.jpg,1200,1632,cell_0,650,697,806,862
1-0671.jpg,1200,1632,cell_1,198,727,412,864
2-49#-0532.jpg,1200,1632,cell_1,1087,569,1200,711
3-50#-1571.jpg,1200,1632,cell_0,1020,762,1180,918
3-50#-1403.jpg,1200,1632,cell_1,638,706,796,862
2-49#-0880.jpg,1200,1632,cell_0,773,667,938,827
3-50#-0107.jpg,1200,1632,cell_0,133,725,296,864
3-50#-1323.jpg,1200,1632,cell_0,373,732,545,860
2-49#-0339.jpg,1200,1632,cell_1,1045,781,1200,928
1-1476.jpg,1200,1632,cell_1,52,727,280,867
3-50#-0415.jpg,1200,1632,cell_0,713,685,866,843
2-49#-0919.jpg,1200,1632,cell_0,678,683,836,837
1-1117.jpg,1200,1632,cell_1,391,720,619,862
2-49#-0929.jpg,1200,1632,cell_0,680,683,840,837
1-2504.jpg,1200,1632,cell_1,824,681,975,839
2-49#-0263.jpg,1200,1632,cell_0,875,706,1033,864
1-1296.jpg,1200,1632,cell_1,814,655,970,830
1-0577.jpg,1200,1632,cell_1,747,643,910,806
3-2443.jpg,1200,1632,cell_1,845,730,1003,874
2-49#-0869.jpg,1200,1632,cell_0,1031,778,1185,920
2-49#-0899.jpg,1200,1632,cell_0,713,676,866,827
3-50#-0352.jpg,1200,1632,cell_1,970,434,1119,588
2-49#-0694.jpg,1200,1632,cell_1,238,723,419,862
2-49#-0825.jpg,1200,1632,cell_1,1017,590,1187,720
3-50#-1159.jpg,1200,1632,cell_0,757,678,913,834
2-49#-0988.jpg,1200,1632,cell_0,280,723,459,857
3-50#-1164.jpg,1200,1632,cell_0,947,739,1106,892
3-2446.jpg,1200,1632,cell_1,498,713,675,867
3-50#-0997.jpg,1200,1632,cell_0,794,669,952,834
1-1297.jpg,1200,1632,cell_1,731,637,905,811
3-50#-1419.jpg,1200,1632,cell_0,1013,760,1175,913
2-49#-0890.jpg,1200,1632,cell_0,471,727,657,857
5-2343.jpg,1200,1632,cell_1,847,727,1026,888
3-50#-0916.jpg,1200,1632,cell_1,982,750,1133,899
2-49#-0837.jpg,1200,1632,cell_0,343,727,533,857
2-49#-0894.jpg,1200,1632,cell_0,768,671,924,827
2-49#-0165.jpg,1200,1632,cell_0,554,713,727,860
2-49#-0865.jpg,1200,1632,cell_0,801,674,959,827
3-50#-0428.jpg,1200,1632,cell_0,575,720,750,869
3-50#-0421.jpg,1200,1632,cell_0,813,669,968,830
2-49#-0817.jpg,1200,1632,cell_1,831,620,989,781
2-49#-0852.jpg,1200,1632,cell_0,47,720,224,855
1-0574.jpg,1200,1632,cell_1,1008,771,1177,916
1-1113.jpg,1200,1632,cell_1,880,739,1063,890
1-0580.jpg,1200,1632,cell_1,124,725,310,867
3-50#-1465.jpg,1200,1632,cell_0,687,692,850,850
2-49#-0864.jpg,1200,1632,cell_0,1047,781,1200,930
2-49#-0387.jpg,1200,1632,cell_0,10,718,189,857
2-49#-0908.jpg,1200,1632,cell_0,999,769,1154,913
2-49#-0447.jpg,1200,1632,cell_1,96,713,273,855
2-49#-0060.jpg,1200,1632,cell_1,947,409,1098,564
2-49#-0930.jpg,1200,1632,cell_0,61,718,236,853
2-49#-0949.jpg,1200,1632,cell_0,261,727,447,862
2-49#-0959.jpg,1200,1632,cell_0,43,716,208,855
2-49#-0948.jpg,1200,1632,cell_0,785,669,945,830
2-49#-0905.jpg,1200,1632,cell_0,75,718,252,857
1-1294.jpg,1200,1632,cell_1,968,760,1159,916
3-50#-0944.jpg,1200,1632,cell_0,1020,762,1178,913
3-2447.jpg,1200,1632,cell_1,205,737,428,867
3-50#-0101.jpg,1200,1632,cell_0,361,730,533,862
3-2210.jpg,1200,1632,cell_1,701,655,861,816
5-2344.jpg,1200,1632,cell_1,798,657,963,832
2-49#-0809.jpg,1200,1632,cell_0,17,723,187,853
3-50#-1071.jpg,1200,1632,cell_0,59,725,231,857
3-50#-1008.jpg,1200,1632,cell_0,1003,755,1152,906
1-1099.jpg,1200,1632,cell_1,282,732,512,860
1-1470.jpg,1200,1632,cell_1,977,762,1152,906
3-50#-0963.jpg,1200,1632,cell_0,517,730,685,864
2-49#-0758.jpg,1200,1632,cell_1,973,604,1147,732
2-49#-0812.jpg,1200,1632,cell_1,875,616,1035,776
3-50#-1446.jpg,1200,1632,cell_1,942,450,1108,613
3-50#-0957.jpg,1200,1632,cell_0,654,699,813,857
3-50#-1482.jpg,1200,1632,cell_1,166,727,347,867
1-1097.jpg,1200,1632,cell_1,696,641,863,809
2-49#-0511.jpg,1200,1632,cell_0,94,723,266,855
3-50#-1148.jpg,1200,1632,cell_0,101,725,268,862
2-49#-0826.jpg,1200,1632,cell_1,866,616,1024,771
2-49#-0063.jpg,1200,1632,cell_1,233,723,414,860
3-50#-1555.jpg,1200,1632,cell_0,557,732,731,867
1-1094.jpg,1200,1632,cell_1,933,750,1119,904
2-49#-0187.jpg,1200,1632,cell_0,87,720,266,857
3-50#-1412.jpg,1200,1632,cell_1,994,402,1149,562
3-2211.jpg,1200,1632,cell_1,561,690,728,855
2-49#-0445.jpg,1200,1632,cell_1,898,620,1059,767
3-50#-1401.jpg,1200,1632,cell_1,926,474,1084,632
1-1472.jpg,1200,1632,cell_1,812,660,966,827
3-50#-0113.jpg,1200,1632,cell_0,1,724,173,860
2-49#-0895.jpg,1200,1632,cell_0,208,723,389,860
1-1299.jpg,1200,1632,cell_1,361,720,584,864
3-50#-1357.jpg,1200,1632,cell_0,145,720,329,864
2-49#-0195.jpg,1200,1632,cell_0,950,753,1106,902
2-49#-0856.jpg,1200,1632,cell_0,524,720,706,857
2-49#-0112.jpg,1200,1632,cell_1,831,620,984,785
2-49#-0259.jpg,1200,1632,cell_0,410,727,585,857
2-49#-0365.jpg,1200,1632,cell_1,710,669,868,832
3-50#-1386.jpg,1200,1632,cell_0,522,727,692,867
3-50#-1081.jpg,1200,1632,cell_0,929,713,1082,869
3-2232.jpg,1200,1632,cell_1,591,685,749,841
3-50#-1059.jpg,1200,1632,cell_0,603,718,768,864
1-1475.jpg,1200,1632,cell_1,345,723,547,855
2-49#-0007.jpg,1200,1632,cell_0,960,753,1116,906
3-2230.jpg,1200,1632,cell_1,814,685,963,837
2-49#-0366.jpg,1200,1632,cell_1,94,718,273,862
3-50#-1306.jpg,1200,1632,cell_0,796,674,957,830
1-1118.jpg,1200,1632,cell_1,131,727,352,871
2-49#-0111.jpg,1200,1632,cell_1,977,602,1147,732
3-50#-0355.jpg,1200,1632,cell_0,252,730,424,862
2-49#-0861.jpg,1200,1632,cell_0,387,723,568,855
2-49#-0818.jpg,1200,1632,cell_1,433,725,621,855
2-49#-0923.jpg,1200,1632,cell_0,922,741,1080,892
2-49#-0952.jpg,1200,1632,cell_0,992,764,1145,911
2-49#-0364.jpg,1200,1632,cell_1,952,755,1114,906
2-49#-0953.jpg,1200,1632,cell_0,736,667,899,830
3-50#-1041.jpg,1200,1632,cell_0,324,732,496,860
3-50#-1093.jpg,1200,1632,cell_0,931,711,1082,871
3-50#-0123.jpg,1200,1632,cell_0,838,674,996,830
2-49#-0934.jpg,1200,1632,cell_0,645,688,806,848
3-50#-0111.jpg,1200,1632,cell_0,945,727,1101,883
3-50#-1398.jpg,1200,1632,cell_0,22,720,182,862
3-50#-1322.jpg,1200,1632,cell_0,847,676,1001,832
3-50#-1432.jpg,1200,1632,cell_0,289,725,468,864
3-50#-1339.jpg,1200,1632,cell_0,689,695,843,850
1-1473.jpg,1200,1632,cell_1,724,646,887,806
2-49#-0061.jpg,1200,1632,cell_1,847,511,1005,676
2-49#-0043.jpg,1200,1632,cell_1,975,381,1126,532
2-49#-0351.jpg,1200,1632,cell_1,194,718,382,862
3-2208.jpg,1200,1632,cell_1,859,737,1028,888
3-50#-1153.jpg,1200,1632,cell_0,771,674,927,834
3-50#-0324.jpg,1200,1632,cell_0,854,678,1006,832
3-50#-0380.jpg,1200,1632,cell_0,140,727,315,860
2-49#-0651.jpg,1200,1632,cell_1,794,634,942,788
3-50#-1052.jpg,1200,1632,cell_0,982,750,1145,911
3-50#-1328.jpg,1200,1632,cell_0,650,704,801,864
2-49#-0486.jpg,1200,1632,cell_1,89,718,263,860
2-49#-0802.jpg,1200,1632,cell_0,968,757,1124,906
1-1298.jpg,1200,1632,cell_1,608,657,780,837
3-50#-0979.jpg,1200,1632,cell_1,868,592,1026,753
1-1114.jpg,1200,1632,cell_1,805,660,973,841
3-50#-1035.jpg,1200,1632,cell_1,1,724,163,864
2-49#-0840.jpg,1200,1632,cell_0,1027,776,1192,927
3-50#-1566.jpg,1200,1632,cell_0,736,683,892,841
3-50#-1390.jpg,1200,1632,cell_0,1057,769,1200,921
3-2444.jpg,1200,1632,cell_1,777,664,931,823
3-50#-1408.jpg,1200,1632,cell_0,924,704,1078,860
3-2445.jpg,1200,1632,cell_1,675,664,835,818
2-49#-0996.jpg,1200,1632,cell_0,840,676,996,837
3-50#-1544.jpg,1200,1632,cell_1,49,727,228,862
2-49#-0039.jpg,1200,1632,cell_0,906,739,1068,890
2-49#-0827.jpg,1200,1632,cell_1,589,695,756,857
2-49#-0928.jpg,1200,1632,cell_0,929,748,1089,899
3-50#-1527.jpg,1200,1632,cell_0,420,730,599,864
3-50#-1541.jpg,1200,1632,cell_1,952,453,1103,611
2-49#-0910.jpg,1200,1632,cell_0,168,718,354,860
3-50#-0318.jpg,1200,1632,cell_1,889,685,1047,843
2-49#-0386.jpg,1200,1632,cell_0,643,690,803,846
2-49#-0958.jpg,1200,1632,cell_0,685,676,838,839
2-49#-0850.jpg,1200,1632,cell_0,936,750,1092,902
3-50#-1475.jpg,1200,1632,cell_1,866,578,1017,737
1-1111.jpg,1200,1632,cell_1,1098,767,1200,935
2-49#-0904.jpg,1200,1632,cell_0,710,676,868,832
2-49#-0874.jpg,1200,1632,cell_0,1027,774,1185,923
2-49#-0954.jpg,1200,1632,cell_0,161,716,324,857
2-49#-0538.jpg,1200,1632,cell_0,1027,776,1182,925
3-50#-1425.jpg,1200,1632,cell_0,922,706,1080,862
1-1100.jpg,1200,1632,cell_1,12,718,242,864
3-50#-0952.jpg,1200,1632,cell_0,103,727,280,857
2-49#-0846.jpg,1200,1632,cell_0,754,667,922,827
1-1098.jpg,1200,1632,cell_1,563,678,740,853
2-49#-0200.jpg,1200,1632,cell_0,1038,778,1194,925
2-49#-0886.jpg,1200,1632,cell_0,78,720,252,855
2-49#-0001.jpg,1200,1632,cell_1,870,481,1028,650
3-2212.jpg,1200,1632,cell_1,294,730,510,869
3-50#-1543.jpg,1200,1632,cell_1,717,671,875,830
2-49#-0909.jpg,1200,1632,cell_0,747,671,910,830
5-2345.jpg,1200,1632,cell_1,705,650,873,818
2-49#-0046.jpg,1200,1632,cell_1,438,725,621,855
2-49#-0692.jpg,1200,1632,cell_1,910,620,1089,757
2-49#-0520.jpg,1200,1632,cell_1,533,713,719,853
3-50#-1154.jpg,1200,1632,cell_0,159,725,333,860
1-2507.jpg,1200,1632,cell_1,335,727,526,855
2-49#-0340.jpg,1200,1632,cell_1,787,669,947,825
3-2234.jpg,1200,1632,cell_1,33,730,245,864
3-50#-1409.jpg,1200,1632,cell_0,568,718,747,864
3-50#-0386.jpg,1200,1632,cell_0,540,732,696,864
2-49#-0811.jpg,1200,1632,cell_1,1021,590,1194,718
2-49#-0348.jpg,1200,1632,cell_1,1082,571,1200,707
2-49#-0444.jpg,1200,1632,cell_1,1038,585,1200,716
3-2231.jpg,1200,1632,cell_1,726,667,880,813
2-49#-0842.jpg,1200,1632,cell_0,278,723,459,855
3-50#-0391.jpg,1200,1632,cell_0,931,718,1087,871
2-49#-0693.jpg,1200,1632,cell_1,754,639,912,804
1-1471.jpg,1200,1632,cell_1,868,734,1038,878
3-50#-1053.jpg,1200,1632,cell_0,720,683,873,850
3-2233.jpg,1200,1632,cell_1,328,734,517,867
2-49#-0535.jpg,1200,1632,cell_1,233,720,414,860
3-50#-0319.jpg,1200,1632,cell_1,480,732,654,862
1-0579.jpg,1200,1632,cell_1,391,718,584,857
3-50#-0901.jpg,1200,1632,cell_0,608,720,766,862
3-50#-0900.jpg,1200,1632,cell_0,922,702,1073,855
2-49#-0823.jpg,1200,1632,cell_1,175,718,347,857
1-1295.jpg,1200,1632,cell_1,861,730,1049,885
2-49#-0944.jpg,1200,1632,cell_0,385,718,573,862
